,date,births,wday,year,month,day_of_year,day_of_month,day_of_week
236,24-08-2015,12274,Mon,2015,8,236,24,2
237,25-08-2015,13149,Tue,2015,8,237,25,3
238,26-08-2015,12729,Wed,2015,8,238,26,4
239,27-08-2015,12829,Thu,2015,8,239,27,5
240,28-08-2015,12719,Fri,2015,8,240,28,6
241,29-08-2015,8772,Sat,2015,8,241,29,7
242,30-08-2015,7805,Sun,2015,8,242,30,1
243,31-08-2015,12142,Mon,2015,8,243,31,2
244,01-09-2015,13231,Tue,2015,9,244,1,3
245,02-09-2015,12799,Wed,2015,9,245,2,4
246,03-09-2015,12839,Thu,2015,9,246,3,5
247,04-09-2015,12862,Fri,2015,9,247,4,6
248,05-09-2015,8950,Sat,2015,9,248,5,7
249,06-09-2015,7778,Sun,2015,9,249,6,1
250,07-09-2015,8127,Mon,2015,9,250,7,2
251,08-09-2015,12823,Tue,2015,9,251,8,3
252,09-09-2015,13949,Wed,2015,9,252,9,4
253,10-09-2015,13925,Thu,2015,9,253,10,5
254,11-09-2015,12295,Fri,2015,9,254,11,6
255,12-09-2015,9062,Sat,2015,9,255,12,7
256,13-09-2015,7900,Sun,2015,9,256,13,1
257,14-09-2015,12699,Mon,2015,9,257,14,2
258,15-09-2015,13439,Tue,2015,9,258,15,3
259,16-09-2015,13136,Wed,2015,9,259,16,4
260,17-09-2015,13319,Thu,2015,9,260,17,5
261,18-09-2015,13229,Fri,2015,9,261,18,6
262,19-09-2015,9195,Sat,2015,9,262,19,7
263,20-09-2015,8078,Sun,2015,9,263,20,1
264,21-09-2015,12567,Mon,2015,9,264,21,2
265,22-09-2015,13047,Tue,2015,9,265,22,3
266,23-09-2015,12595,Wed,2015,9,266,23,4
267,24-09-2015,12942,Thu,2015,9,267,24,5
268,25-09-2015,12792,Fri,2015,9,268,25,6
269,26-09-2015,8927,Sat,2015,9,269,26,7
270,27-09-2015,7778,Sun,2015,9,270,27,1
271,28-09-2015,12158,Mon,2015,9,271,28,2
272,29-09-2015,12791,Tue,2015,9,272,29,3
273,30-09-2015,12284,Wed,2015,9,273,30,4
274,01-10-2015,13043,Thu,2015,10,274,1,5
275,02-10-2015,12399,Fri,2015,10,275,2,6
276,03-10-2015,8579,Sat,2015,10,276,3,7
277,04-10-2015,7530,Sun,2015,10,277,4,1
278,05-10-2015,12166,Mon,2015,10,278,5,2
279,06-10-2015,12520,Tue,2015,10,279,6,3
280,07-10-2015,12429,Wed,2015,10,280,7,4
281,08-10-2015,12458,Thu,2015,10,281,8,5
282,09-10-2015,12282,Fri,2015,10,282,9,6
283,10-10-2015,8550,Sat,2015,10,283,10,7
284,11-10-2015,7571,Sun,2015,10,284,11,1
285,12-10-2015,11633,Mon,2015,10,285,12,2
286,13-10-2015,12094,Tue,2015,10,286,13,3
287,14-10-2015,12205,Wed,2015,10,287,14,4
288,15-10-2015,12522,Thu,2015,10,288,15,5
289,16-10-2015,11917,Fri,2015,10,289,16,6
290,17-10-2015,8233,Sat,2015,10,290,17,7
291,18-10-2015,7211,Sun,2015,10,291,18,1
292,19-10-2015,11388,Mon,2015,10,292,19,2
293,20-10-2015,12500,Tue,2015,10,293,20,3
294,21-10-2015,12093,Wed,2015,10,294,21,4
295,22-10-2015,12013,Thu,2015,10,295,22,5
296,23-10-2015,11942,Fri,2015,10,296,23,6
297,24-10-2015,8239,Sat,2015,10,297,24,7
298,25-10-2015,7288,Sun,2015,10,298,25,1
299,26-10-2015,11923,Mon,2015,10,299,26,2
300,27-10-2015,12485,Tue,2015,10,300,27,3
301,28-10-2015,12266,Wed,2015,10,301,28,4
302,29-10-2015,11950,Thu,2015,10,302,29,5
303,30-10-2015,11529,Fri,2015,10,303,30,6
304,31-10-2015,8049,Sat,2015,10,304,31,7
305,01-11-2015,7731,Sun,2015,11,305,1,1
306,02-11-2015,12236,Mon,2015,11,306,2,2
307,03-11-2015,12524,Tue,2015,11,307,3,3
308,04-11-2015,12279,Wed,2015,11,308,4,4
309,05-11-2015,12452,Thu,2015,11,309,5,5
310,06-11-2015,11909,Fri,2015,11,310,6,6
311,07-11-2015,8517,Sat,2015,11,311,7,7
312,08-11-2015,7324,Sun,2015,11,312,8,1
313,09-11-2015,11688,Mon,2015,11,313,9,2
314,10-11-2015,12451,Tue,2015,11,314,10,3
315,11-11-2015,12311,Wed,2015,11,315,11,4
316,12-11-2015,12329,Thu,2015,11,316,12,5
317,13-11-2015,11643,Fri,2015,11,317,13,6
318,14-11-2015,8221,Sat,2015,11,318,14,7
319,15-11-2015,7378,Sun,2015,11,319,15,1
320,16-11-2015,11791,Mon,2015,11,320,16,2
321,17-11-2015,12321,Tue,2015,11,321,17,3
322,18-11-2015,12230,Wed,2015,11,322,18,4
323,19-11-2015,12504,Thu,2015,11,323,19,5
324,20-11-2015,12495,Fri,2015,11,324,20,6
325,21-11-2015,8392,Sat,2015,11,325,21,7
326,22-11-2015,7427,Sun,2015,11,326,22,1
327,23-11-2015,12419,Mon,2015,11,327,23,2
328,24-11-2015,13051,Tue,2015,11,328,24,3
329,25-11-2015,11745,Wed,2015,11,329,25,4
330,26-11-2015,7332,Thu,2015,11,330,26,5
331,27-11-2015,8942,Fri,2015,11,331,27,6
332,28-11-2015,7734,Sat,2015,11,332,28,7
333,29-11-2015,7230,Sun,2015,11,333,29,1
334,30-11-2015,12214,Mon,2015,11,334,30,2
335,01-12-2015,13185,Tue,2015,12,335,1,3
336,02-12-2015,12708,Wed,2015,12,336,2,4
337,03-12-2015,12281,Thu,2015,12,337,3,5
338,04-12-2015,11828,Fri,2015,12,338,4,6
339,05-12-2015,8262,Sat,2015,12,339,5,7
340,06-12-2015,7194,Sun,2015,12,340,6,1
341,07-12-2015,11567,Mon,2015,12,341,7,2
342,08-12-2015,12328,Tue,2015,12,342,8,3
343,09-12-2015,11857,Wed,2015,12,343,9,4
344,10-12-2015,12259,Thu,2015,12,344,10,5
345,11-12-2015,11406,Fri,2015,12,345,11,6
346,12-12-2015,8073,Sat,2015,12,346,12,7
347,13-12-2015,7262,Sun,2015,12,347,13,1
348,14-12-2015,11753,Mon,2015,12,348,14,2
349,15-12-2015,12437,Tue,2015,12,349,15,3
350,16-12-2015,12282,Wed,2015,12,350,16,4
351,17-12-2015,12339,Thu,2015,12,351,17,5
352,18-12-2015,12247,Fri,2015,12,352,18,6
353,19-12-2015,8368,Sat,2015,12,353,19,7
354,20-12-2015,7361,Sun,2015,12,354,20,1
355,21-12-2015,12692,Mon,2015,12,355,21,2
356,22-12-2015,13131,Tue,2015,12,356,22,3
357,23-12-2015,11595,Wed,2015,12,357,23,4
358,24-12-2015,8714,Thu,2015,12,358,24,5
359,25-12-2015,6515,Fri,2015,12,359,25,6
360,26-12-2015,7294,Sat,2015,12,360,26,7
361,27-12-2015,7518,Sun,2015,12,361,27,1
362,28-12-2015,13100,Mon,2015,12,362,28,2
363,29-12-2015,13458,Tue,2015,12,363,29,3
364,30-12-2015,13100,Wed,2015,12,364,30,4
365,31-12-2015,11608,Thu,2015,12,365,31,5
